Date,MSFT,F,JPM,GOOG,HPQ,C,HOG,VZ,AAPL,IBM,T,CSCO,BAC,INTC,AMD,SNE,NVDA,AMZN,MS,BK
01/15/2020,161.4694519,9.036320686,131.8265991,1439.199951,20.65267181,78.08887482,34.97527695,56.60668182,77.16856384,129.812149,35.29505539,46.37996292,33.76447678,57.50999832,48.54999924,71.59999847,245.1654358,1862.02002,51.39447403,49.07802582
01/16/2020,164.4281158,9.016655922,132.3376312,1451.699951,20.8937149,77.85818481,35.22150803,57.15263367,78.13522339,131.1043854,35.44417953,47.38465118,33.81317139,58.21252823,49.77000046,72.62000275,248.5199127,1877.939941,54.79229355,45.23427582
01/17/2020,165.3483582,9.006822586,133.2536316,1480.390015,21.18297005,77.97354126,35.18211365,57.5932312,79.00024414,131.4179382,35.77037811,47.35566711,33.80342865,58.15398407,50.93000031,72.48000336,248.8693542,1864.719971,55.8310585,44.71144485
01/21/2020,164.7546539,9.055987358,131.9423065,1484.400024,21.1733284,76.80085754,34.6403923,57.77521133,78.4648819,132.2350922,35.90085983,47.14313889,33.36518478,59.08094025,51.04999924,72.12999725,247.5315552,1892,54.28747177,45.29236603
01/22/2020,163.9630432,9.006822586,131.7880249,1485.949951,21.14440536,76.99308777,34.6403923,57.92846298,78.74495697,136.7198792,36.38550186,47.40397644,33.46257782,61.20804214,51.43000031,72.37999725,249.6979828,1887.459961,54.22922516,45.24395752
01/23/2020,164.9723511,8.987157822,131.6530457,1486.650024,21.30831337,76.70474243,34.7191925,57.95719528,79.12418365,135.7507172,36.00337982,47.33634949,33.22884369,61.78372955,51.70999908,72.58999634,252.4434509,1884.579956,53.90885925,45.5247345
01/24/2020,163.3099518,8.849498749,128.3843842,1466.709961,21.1926136,75.37826538,34.69948959,57.73689651,78.89614868,133.5558167,35.88222504,47.19144821,32.66399765,66.80877686,50.34999847,71.87999725,250.0673523,1861.640015,52.95747375,44.78401947
01/27/2020,160.5788879,8.74133873,127.3044662,1433.900024,20.80693817,73.73458862,34.31536484,57.38250732,76.57618713,131.7124939,35.64921951,45.85829926,31.99201012,64.09622955,49.25999832,71.30999756,239.804306,1828.339966,51.55951309,43.90685654
01/28/2020,163.7255554,8.820000648,129.6185608,1452.560059,20.86478996,74.24402618,33.28117752,58.13917923,78.74247742,132.5961456,35.95678329,46.14811325,32.37182999,65.67692566,50.52999878,72.01999664,247.5614929,1853.25,52.44294357,43.82888794
01/29/2020,166.2785034,8.859999657,129.4257202,1458.630005,20.66231537,73.51351166,33.31072235,57.01853943,80.39074707,130.8288422,34.53081512,45.45256042,32.14783096,64.72071075,47.50999832,71.80000305,245.135498,1858,52.11287308,43.33182526
